ticker,cik,filing_date,open,close,adj_close,yest_open,yest_close,yest_adj_close,curr_mkt_cap
RFMD,911160,5/21/14,8.97,8.98,8.98,8.92,8.92,8.92,4.486B
RFMK,859917,12/16/96,NA,NA,NA,NA,NA,NA,2.4M
RFMK,859917,12/1/97,NA,NA,NA,NA,NA,NA,2.4M
RFMK,859917,11/30/98,NA,NA,NA,NA,NA,NA,2.4M
RFMK,859917,4/15/14,0,0,0,0,0,0,2.4M
RFP,1393066,3/17/08,NA,NA,NA,NA,NA,NA,1.664B
RFP,1393066,4/30/09,NA,NA,NA,NA,NA,NA,1.664B
RFP,1393066,3/31/10,NA,NA,NA,NA,NA,NA,1.664B
RFP,1393066,4/5/11,27,27.02,27.02,26.99,26.99,26.99,1.664B
RFP,1393066,2/29/12,15.41,15.3,15.3,15.35,15.35,15.35,1.664B
RFP,1393066,3/1/13,13.63,13.95,13.95,13.8,13.8,13.8,1.664B
RFP,1393066,3/3/14,NA,NA,NA,NA,NA,NA,1.664B
RFPX,929425,3/31/97,NA,NA,NA,NA,NA,NA,N/A
RFPX,929425,4/24/98,NA,NA,NA,NA,NA,NA,N/A
RGA,898174,3/24/97,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,3/30/99,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,3/16/01,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,3/20/03,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,3/12/04,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,3/3/05,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,2/27/06,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,2/27/07,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,2/28/08,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,3/2/09,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,2/26/10,47.78,47.53,44.51,47.56,47.56,44.54,5.966B
RGA,898174,2/28/11,NA,NA,NA,NA,NA,NA,5.966B
RGA,898174,2/29/12,56.84,57.67,55.15,56.65,56.65,54.18,5.966B
RGA,898174,3/1/13,57.27,57.52,55.9,57.5,57.5,55.88,5.966B
RGA,898174,2/27/14,75.17,75.78,74.88,75.17,75.17,74.28,5.966B
RGBOQ,883697,3/20/97,6.13,6.13,122.5,6.13,6.13,122.5,34K
RGBOQ,883697,4/10/98,NA,NA,NA,NA,NA,NA,34K
RGBOQ,883697,3/30/00,3,3,60,3.5,3.5,70,34K
RGBOQ,883697,4/2/01,NA,NA,NA,NA,NA,NA,34K
RGBOQ,883697,4/1/02,NA,NA,NA,NA,NA,NA,34K
RGBOQ,883697,3/31/03,NA,NA,NA,NA,NA,NA,34K
RGBOQ,883697,3/30/04,1.35,1.34,26.8,1.32,1.32,26.4,34K
RGBOQ,883697,3/28/05,NA,NA,NA,NA,NA,NA,34K
RGBOQ,883697,3/28/06,0.94,0.97,19.4,0.94,0.94,18.8,34K
RGBOQ,883697,3/28/07,0.48,0.5,10,0.46,0.46,9.2,34K
RGBOQ,883697,3/27/08,0.14,0.14,2.8,0.17,0.17,3.4,34K
RGBOQ,883697,3/26/09,NA,NA,NA,NA,NA,NA,34K
RGC,1168696,3/26/03,18.14,17.4,4.33,18.06,18.06,4.49,3.259B
RGC,1168696,3/16/04,20.2,20.5,6.71,20.25,20.25,6.63,3.259B
